magnet_depth,ratio,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.46733333333333327,16.970562748477143,90.0,22.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.136021557092428,-0.0004015025960072544,-0.0005891777698657588,0.0009904135554963359
0.1,0.46733333333333327,16.970562748477143,99.0,24.75,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1575865235724178,-0.0005279145513251513,-0.000466888978956148,0.0009946200355414026
0.1,0.46733333333333327,16.970562748477143,108.0,27.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1788037049196745,-0.0006422239551949927,-0.0003287045077338653,0.0009708691144846908
0.1,0.46733333333333327,16.970562748477143,117.0,29.25,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1885689014258468,-0.0007474980265962172,-0.0001743687228910055,0.0009218284706257551
0.1,0.46733333333333327,16.970562748477143,126.0,31.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1714703767024497,-0.0008409314989375376,-1.075043700862196e-05,0.000851609650504155
0.1,0.46733333333333327,16.970562748477143,135.0,33.75,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.140767034211687,-0.0009170372349595311,0.0001518375888053221,0.0007651993075908005
0.1,0.46733333333333327,16.970562748477143,144.0,36.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1310161432426203,-0.0009702820656996061,0.0003067238554478008,0.0006637672893607135
0.1,0.46733333333333327,16.970562748477143,153.0,38.25,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1421299352960352,-0.0009951157258136242,0.000445548224679778,0.0005498431436708912
0.1,0.46733333333333327,16.970562748477143,162.0,40.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1651409722857497,-0.0009895399910581806,0.0005670208789407839,0.0004226782135788236
0.1,0.46733333333333327,16.970562748477143,171.0,42.75,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1841117822287562,-0.0009571036566420088,0.0006783555673318875,0.0002788230880109599
0.1,0.46733333333333327,16.970562748477143,180.0,45.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1865352934660169,-0.0009003851586567044,0.0007801887684429132,0.0001202768951423273
0.1,0.46733333333333327,16.970562748477143,189.0,47.25,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1596137813267452,-0.0008244997619804734,0.0008685178240565082,-4.389903110921244e-05
0.1,0.46733333333333327,16.970562748477143,198.0,49.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1352241637754769,-0.0007329619492486872,0.0009376424825072708,-0.0002047053278079592
0.1,0.46733333333333327,16.970562748477143,207.0,51.75,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1322312833341632,-0.0006270961343876108,0.000982038162231904,-0.0003551505617798308
0.1,0.46733333333333327,16.970562748477143,216.0,54.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.149753612873273,-0.0005091862480887077,0.0009964724721239866,-0.0004874862445301841
0.1,0.46733333333333327,16.970562748477143,225.0,56.25,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1722539408014278,-0.0003766385411655114,0.0009816194536266662,-0.0006050535413011412
0.1,0.46733333333333327,16.970562748477143,234.0,58.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.187665921642818,-0.0002273133105140519,0.0009407332098698725,-0.0007134472997857758
0.1,0.46733333333333327,16.970562748477143,243.0,60.75,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1809748647830643,-6.554077797641095e-05,0.0008768819661507664,-0.000811389144675565
0.1,0.46733333333333327,16.970562748477143,252.0,63.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1489529348458506,9.814155281690378e-05,0.0007956966448585381,-0.0008938941880840949
0.1,0.46733333333333327,16.970562748477143,261.0,65.25,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.132113004245576,0.0002565044247613563,0.00069902592748188,-0.0009553900141616777
0.1,0.46733333333333327,16.970562748477143,270.0,67.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1359364465784853,0.0004015144838119111,0.0005890465851016382,-0.0009902936476757522
0.1,0.598,16.970562748477143,90.0,22.5,0,0.1,0.598,2.525578174176351e-06,-0.1189503271810773,-0.0003000832292851864,-0.0006383597511743921,0.0009381347338985843
0.1,0.598,16.970562748477143,99.0,24.75,0,0.1,0.598,2.525578174176351e-06,-0.1289017246496784,-0.0004321160045091309,-0.0005187985207653844,0.0009506112642037158
0.1,0.598,16.970562748477143,108.0,27.0,0,0.1,0.598,2.525578174176351e-06,-0.1417914095465264,-0.000553657117804947,-0.0003825990082406708,0.0009360347666801039
