magnet_depth,ratio,halbach_side,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.46733333333333327,B,16.970562748477143,90.0,22.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1330250384768879,-0.0003892299655304987,-0.00059512873197039,0.0009840667465098312
0.1,0.46733333333333327,B,16.970562748477143,108.0,27.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1745554276880684,-0.0006309149661616538,-0.0003358409140894543,0.00096667804735306
0.1,0.46733333333333327,B,16.970562748477143,126.0,31.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1634510229368749,-0.0008314569872013191,-1.935477163886114e-05,0.0008507553752849716
0.1,0.46733333333333327,B,16.970562748477143,144.0,36.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1281435798948852,-0.0009636350416176532,0.0002949667248035107,0.0006689109667258968
0.1,0.46733333333333327,B,16.970562748477143,162.0,40.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.161091777061027,-0.0009847779755181782,0.0005552524329949254,0.0004297135928806447
0.1,0.46733333333333327,B,16.970562748477143,180.0,45.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1818816436098351,-0.0008980433329466567,0.0007696965144479451,0.000128425853356058
0.1,0.46733333333333327,B,16.970562748477143,198.0,49.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.130794198881159,-0.0007364591418896784,0.0009301806638542804,-0.0001937850762692585
0.1,0.46733333333333327,B,16.970562748477143,216.0,54.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1457543869003295,-0.0005156363959506432,0.000990802675722248,-0.0004753952805065287
0.1,0.46733333333333327,B,16.970562748477143,234.0,58.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1837950223959363,-0.0002348363393778789,0.000937345665568647,-0.0007025427804643092
0.1,0.46733333333333327,B,16.970562748477143,252.0,63.0,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1417915612162001,8.843489940323424e-05,0.0007972318867083942,-0.000885690802005409
0.1,0.46733333333333327,B,16.970562748477143,270.0,67.5,0,0.1,0.46733333333333327,2.526063854994834e-06,-0.1329450173346033,0.0003892465315162749,0.0005952223813218917,-0.0009841765038626103
0.1,0.598,B,16.970562748477143,90.0,22.5,0,0.1,0.598,2.525578174176351e-06,-0.1167497005810673,-0.0002859072296577646,-0.0006452399855904064,0.0009308403696326539
0.1,0.598,B,16.970562748477143,108.0,27.0,0,0.1,0.598,2.525578174176351e-06,-0.1350785514003134,-0.0005411351025560108,-0.0003903776721280726,0.000931276994331823
0.1,0.598,B,16.970562748477143,126.0,31.5,0,0.1,0.598,2.525578174176351e-06,-0.1060808639567199,-0.0007586447787139365,-9.514216700775642e-05,0.000853968257617124
0.1,0.598,B,16.970562748477143,144.0,36.0,0,0.1,0.598,2.525578174176351e-06,-0.1095098958400855,-0.0009063545504054539,0.0001940300491644591,0.0007126377636656835
0.1,0.598,B,16.970562748477143,162.0,40.5,0,0.1,0.598,2.525578174176351e-06,-0.1292029196436938,-0.0009426438530996361,0.0004603777629158268,0.0004825662869206281
0.1,0.598,B,16.970562748477143,180.0,45.0,0,0.1,0.598,2.525578174176351e-06,-0.11321570415163,-0.000884960568511941,0.0006900350516752886,0.0001948948925337466
0.1,0.598,B,16.970562748477143,198.0,49.5,0,0.1,0.598,2.525578174176351e-06,-0.1037628999694863,-0.000769033046355963,0.0008690267396226889,-0.0001003055837532181
0.1,0.598,B,16.970562748477143,216.0,54.0,0,0.1,0.598,2.525578174176351e-06,-0.1229581793738193,-0.0005679036580295143,0.0009425609230240891,-0.0003750075724322518
0.1,0.598,B,16.970562748477143,234.0,58.5,0,0.1,0.598,2.525578174176351e-06,-0.1275384834751815,-0.0002934417148792551,0.0009105851862792754,-0.000617312351284784
0.1,0.598,B,16.970562748477143,252.0,63.0,0,0.1,0.598,2.525578174176351e-06,-0.1028159022002853,4.111823234852911e-06,0.0008155375669091095,-0.0008194109181224653
0.1,0.598,B,16.970562748477143,270.0,67.5,0,0.1,0.598,2.525578174176351e-06,-0.1167263073087209,0.0002859548229345039,0.000645149108738383,-0.0009307970800161002
0.1,0.5326666666666666,B,16.970562748477143,90.0,22.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1242709764190274,-0.0003387720792802947,-0.0006199215773832393,0.0009583774265942552
0.1,0.5326666666666666,B,16.970562748477143,108.0,27.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1571109095925764,-0.0005869958535427163,-0.0003629044421683133,0.0009497352202705624
0.1,0.5326666666666666,B,16.970562748477143,126.0,31.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1325358167149402,-0.0007953989030611814,-5.509202252269858e-05,0.0008505301446962227
0.1,0.5326666666666666,B,16.970562748477143,144.0,36.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1188913354559186,-0.0009360326142731976,0.0002462629495148723,0.0006900651477038518
0.1,0.5326666666666666,B,16.970562748477143,162.0,40.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.14503369295762,-0.000964454292276373,0.0005090417537928269,0.0004556696122085742
0.1,0.5326666666666666,B,16.970562748477143,180.0,45.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1522692243030848,-0.0008897755129966431,0.0007299824022684639,0.0001598143503825676
0.1,0.5326666666666666,B,16.970562748477143,198.0,49.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1166310843335298,-0.0007515561600499738,0.0009008344936532135,-0.0001495178733783705
0.1,0.5326666666666666,B,16.970562748477143,216.0,54.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1322431871280802,-0.0005411732977885636,0.0009674834567738933,-0.0004266454947279643
0.1,0.5326666666666666,B,16.970562748477143,234.0,58.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.162321896429119,-0.0002632678191338532,0.0009238829600283486,-0.0006607284560124851
0.1,0.5326666666666666,B,16.970562748477143,252.0,63.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1201127865863106,4.861937683322249e-05,0.0008051614694138475,-0.0008536777080925
0.1,0.5326666666666666,B,16.970562748477143,270.0,67.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1242358464659745,0.0003388246138912878,0.0006199903395080182,-0.0009584986785127658
0.1,0.40199999999999997,B,16.970562748477143,90.0,22.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1456329365837493,-0.0004328370930302617,-0.0005737481697931993,0.001006433895104077
0.1,0.40199999999999997,B,16.970562748477143,108.0,27.0,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1890971085420912,-0.0006727924542674889,-0.0003086346372579007,0.0009814112177659816
0.1,0.40199999999999997,B,16.970562748477143,126.0,31.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1892114341209901,-0.0008669904606759135,1.174261595454934e-05,0.0008551514441686395
0.1,0.40199999999999997,B,16.970562748477143,144.0,36.0,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1403884531223146,-0.0009881610780013985,0.0003368475414593782,0.0006514033625838568
0.1,0.40199999999999997,B,16.970562748477143,162.0,40.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1760204705867944,-0.001001998176132364,0.0005980881601495374,0.0004039887146683039
0.1,0.40199999999999997,B,16.970562748477143,180.0,45.0,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1952253900850739,-0.0009071873542701233,0.0008083848306691078,9.888535498529001e-05
0.1,0.40199999999999997,B,16.970562748477143,198.0,49.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1499370665593328,-0.0007243174624755167,0.000957195291751963,-0.0002327915408682161
0.1,0.40199999999999997,B,16.970562748477143,216.0,54.0,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1602762505782261,-0.0004915369210402573,0.001010579270275342,-0.00051913569671948
0.1,0.40199999999999997,B,16.970562748477143,234.0,58.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1951504430125866,-0.0002061495342494502,0.0009493317669109231,-0.0007431963966488684
0.1,0.40199999999999997,B,16.970562748477143,252.0,63.0,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1708415869263842,0.0001235713626884256,0.0007929679353360224,-0.0009166599166340171
0.1,0.40199999999999997,B,16.970562748477143,270.0,67.5,0,0.1,0.40199999999999997,2.525578174176357e-06,-0.1455821040262794,0.0004328645409885603,0.0005737709648970543,-0.001006483727157954
0.1,0.6633333333333333,B,16.970562748477143,90.0,22.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1078678979344867,-0.0002319996854742928,-0.0006706444249023216,0.0009023221398671697
0.1,0.6633333333333333,B,16.970562748477143,108.0,27.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1023791336770618,-0.0004934736187224161,-0.0004211570888536286,0.0009143583565142504
0.1,0.6633333333333333,B,16.970562748477143,126.0,31.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.07999580234062027,-0.0007197104710187152,-0.0001398681895170385,0.0008598266418389199
0.1,0.6633333333333333,B,16.970562748477143,144.0,36.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.09915178494012994,-0.0008749711693065095,0.0001400318241309625,0.0007352237018999054
0.1,0.6633333333333333,B,16.970562748477143,162.0,40.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1140613996395957,-0.0009206923112259414,0.0004096128982323852,0.0005113601298907088
0.1,0.6633333333333333,B,16.970562748477143,180.0,45.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08088945166949706,-0.0008840064698309588,0.0006491647076087233,0.0002347414025202995
0.1,0.6633333333333333,B,16.970562748477143,198.0,49.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.09036028443432759,-0.0007877910555720641,0.000834594074698014,-4.713183310623289e-05
0.1,0.6633333333333333,B,16.970562748477143,216.0,54.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1139959522360047,-0.0005954495213327587,0.0009173347339263828,-0.0003222010838507315
0.1,0.6633333333333333,B,16.970562748477143,234.0,58.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08800890952535953,-0.0003285528610780775,0.0009018583032420433,-0.0005734336267625451
0.1,0.6633333333333333,B,16.970562748477143,252.0,63.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08384656174963409,-4.57467451881426e-05,0.0008284779014710055,-0.0007823920128431388
0.1,0.6633333333333333,B,16.970562748477143,270.0,67.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1078805224423413,0.0002320038442720903,0.0006707027458087516,-0.0009023846141264892
0.1,0.7286666666666666,B,16.970562748477143,90.0,22.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.09564182012521491,-0.0001785678661367768,-0.0006950954912708951,0.0008733879035520519
0.1,0.7286666666666666,B,16.970562748477143,108.0,27.0,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.07019594156379053,-0.0004457167566387674,-0.0004570233091523474,0.0009025882998365363
0.1,0.7286666666666666,B,16.970562748477143,126.0,31.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.05556954783512145,-0.0006773429753983164,-0.0001896108793335316,0.0008672517488979446
0.1,0.7286666666666666,B,16.970562748477143,144.0,36.0,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.08577910116737167,-0.0008417209993575723,8.545437335676552e-05,0.0007565798407619416
0.1,0.7286666666666666,B,16.970562748477143,162.0,40.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.08979201102450823,-0.0009006648896661798,0.0003586438349544399,0.0005423149711122981
0.1,0.7286666666666666,B,16.970562748477143,180.0,45.0,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.0546137498231002,-0.0008851804108800914,0.0006053146870963227,0.0002797663692969999
0.1,0.7286666666666666,B,16.970562748477143,198.0,49.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.07412315994922339,-0.000804476156126844,0.0007972297577393439,6.978064907549017e-06
0.1,0.7286666666666666,B,16.970562748477143,216.0,54.0,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.1000132764022972,-0.0006224151899679543,0.0008919091243741379,-0.0002697355363056383
0.1,0.7286666666666666,B,16.970562748477143,234.0,58.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.05792929566980238,-0.0003688297621130422,0.0008971454246030498,-0.0005283161069917378
0.1,0.7286666666666666,B,16.970562748477143,252.0,63.0,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.0625428963899034,-9.841630699370033e-05,0.0008408677055235327,-0.0007421152777125953
0.1,0.7286666666666666,B,16.970562748477143,270.0,67.5,0,0.1,0.7286666666666666,2.525553490137797e-06,-0.09566730098586906,0.0001785384756029638,0.0006951289985576629,-0.0008733919912968449
0.1,0.33666666666666667,B,16.970562748477143,90.0,22.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1625327017948854,-0.0004669974837786726,-0.0005570599019525261,0.00102414744280834
0.1,0.33666666666666667,B,16.970562748477143,108.0,27.0,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1972104636079146,-0.0007117148737708796,-0.0002814644179696757,0.0009931760340717547
0.1,0.33666666666666667,B,16.970562748477143,126.0,31.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.2018747117304771,-0.000901080633326078,4.038316360766024e-05,0.0008605535006942561
0.1,0.33666666666666667,B,16.970562748477143,144.0,36.0,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1620987316889052,-0.001009808006275432,0.0003706960165060533,0.0006389571177508425
0.1,0.33666666666666667,B,16.970562748477143,162.0,40.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.187950456453495,-0.001016040165175033,0.0006370038463035755,0.0003789889385812309
0.1,0.33666666666666667,B,16.970562748477143,180.0,45.0,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.2023178458884396,-0.0009164658010500191,0.0008457085890269959,7.080600620935863e-05
0.1,0.33666666666666667,B,16.970562748477143,198.0,49.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1770332865222316,-0.0007179421875293764,0.0009834096977650864,-0.0002652948771559498
0.1,0.33666666666666667,B,16.970562748477143,216.0,54.0,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1728830135438743,-0.000470677884566911,0.00102651711551735,-0.0005557702403269255
0.1,0.33666666666666667,B,16.970562748477143,234.0,58.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.200877711155597,-0.0001785377678377778,0.0009601871281151346,-0.0007816646595268341
0.1,0.33666666666666667,B,16.970562748477143,252.0,63.0,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1954964290396867,0.0001534866819700894,0.00079319746840111,-0.0009468453903746469
0.1,0.33666666666666667,B,16.970562748477143,270.0,67.5,0,0.1,0.33666666666666667,2.526054792185897e-06,-0.1624749153488101,0.0004670727988146505,0.000557144690420952,-0.001024307279117929
0.1,0.2713333333333333,B,16.970562748477143,90.0,22.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1854584098279705,-0.0004935680049672202,-0.000544206704488395,0.001038139210287609
0.1,0.2713333333333333,B,16.970562748477143,108.0,27.0,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1994997657940711,-0.0007480984972267066,-0.0002548268165433437,0.001002968827428323
